Sample Name,Cell_type,TISSUE
GSM4217693,ab T Cell,Lung
GSM4217694,ab T Cell,Lung
GSM4217695,ab T Cell,Spleen
GSM4217696,ab T Cell,Spleen
GSM4217697,ab T Cell,Spleen
GSM4217698,ab T Cell,Thymus
GSM4217699,ab T Cell,Thymus
GSM4217700,ab T Cell,Thymus
GSM4217701,ab T Cell,Liver
GSM4217702,ab T Cell,Liver
GSM4217703,ab T Cell,Liver
GSM4217704,ab T Cell,Spleen
GSM4217705,ab T Cell,Spleen
GSM2932488,B Cell,Spleen
GSM2932489,B Cell,Spleen
GSM2932490,B Cell,Spleen
GSM2932491,B Cell,Spleen
GSM2932492,B Cell,Spleen
GSM2932493,B Cell,Bone Marrow
GSM2932494,B Cell,Bone Marrow
GSM2932495,B Cell,Spleen
GSM2932496,B Cell,Spleen
GSM2932497,B Cell,Spleen
GSM2932498,B Cell,Spleen
GSM2932499,B Cell,Spleen
GSM2932500,B Cell,Spleen
GSM2932501,B Cell,Spleen
GSM2932502,B Cell,Spleen
GSM2932503,B Cell,Spleen
GSM2932504,B Cell,Spleen
GSM2932505,B Cell,Spleen
GSM2932506,B Cell,Bone Marrow
GSM2932507,B Cell,Splenic
GSM2932508,B Cell,Spleen
GSM2932509,B Cell,Spleen
GSM2932510,B Cell,Spleen
GSM2932511,B Cell,Spleen
GSM2932512,B Cell,Spleen
GSM2932513,B Cell,Peritoneal Cavity
GSM2932514,B Cell,Peritoneal Cavity
GSM2932515,Stromal Cells,Subcutaneous Lymph Node
GSM2932516,Stromal Cells,Subcutaneous Lymph Node
GSM2932517,Stromal Cells,Subcutaneous Lymph Node
GSM2932518,Dendritic cells,Splenic
GSM2932519,Dendritic cells,Splenic
GSM2932520,Dendritic cells,Splenic
GSM2932521,Dendritic cells,Splenic
GSM2932522,Dendritic cells,Splenic
GSM2932523,Dendritic cells,Splenic
GSM2932524,Dendritic cells,Splenic
GSM2932525,Dendritic cells,Splenic
GSM2932526,Stromal Cells,Thymus
GSM2932527,Stromal Cells,Thymus
GSM2932528,Stromal Cells,Subcutaneous Lymph Node
GSM2932529,Stromal Cells,Subcutaneous Lymph Node
GSM2932530,Stromal Cells,Subcutaneous Lymph Node
GSM2932531,Granulocytes,Bone Marrow
GSM2932532,Granulocytes,Bone Marrow
GSM2932533,Granulocytes,Spleen
GSM2932534,Granulocytes,Spleen
GSM2932535,Granulocytes,Peritoneal Cavity
GSM2932536,Granulocytes,Peritoneal Cavity
GSM2932537,Stromal Cells,Subcutaneous Lymph Node
GSM2932538,Stromal Cells,Subcutaneous Lymph Node
GSM2932539,Innate Lymphocytes,Small Intestine
GSM2932540,Innate Lymphocytes,Small Intestine
GSM2932541,Innate Lymphocytes,Small Intestine
GSM2932542,Innate Lymphocytes,Small Intestine
GSM2932543,Innate Lymphocytes,Lamina Propia
GSM2932544,Innate Lymphocytes,Lamina Propia
GSM2932545,Innate Lymphocytes,Lamina Propia
GSM2932546,Innate Lymphocytes,Lamina Propia
GSM2932547,Innate Lymphocytes,Lamina Propia
GSM2932548,Stromal Cells,Subcutaneous Lymph Node
GSM2932549,Stromal Cells,Subcutaneous Lymph Node
GSM2932550,Stem Cells,Bone Marrow
GSM2932552,Stem Cells,Bone Marrow
GSM2932554,Stem Cells,Bone Marrow
GSM2932555,Stem Cells,Bone Marrow
GSM2932556,Mast Cells,Peritoneal Cavity
GSM2932557,Macrophage,Lung
GSM2932558,Macrophage,Lung
GSM2932559,Macrophage,Peritoneal Cavity
GSM2932560,Macrophage,Peritoneal Cavity
GSM2932561,Macrophage,Peritoneal Cavity
GSM2932562,Macrophage,Peritoneal Cavity
GSM2932563,Macrophage,Lung
GSM2932564,Stem Cells,Bone Marrow
GSM2932565,Stem Cells,Bone Marrow
GSM2932566,Stem Cells,Bone Marrow
GSM2932567,Stem Cells,Bone Marrow
GSM2932568,Stem Cells,Bone Marrow
GSM2932569,Innate Lymphocytes,Bone Marrow
GSM2932570,Innate Lymphocytes,Bone Marrow
GSM2932571,Innate Lymphocytes,Spleen
GSM2932572,Innate Lymphocytes,Bone Marrow
GSM2932573,Innate Lymphocytes,Bone Marrow
GSM2932574,Innate Lymphocytes,Spleen
GSM2932575,Innate Lymphocytes,Spleen
GSM2932576,Innate Lymphocytes,Bone Marrow
GSM2932577,Innate Lymphocytes,Bone Marrow
GSM2932578,Innate Lymphocytes,Spleen
GSM2932579,Innate Lymphocytes,Spleen
GSM2932580,ab T Cell,Spleen
GSM2932581,ab T Cell,Spleen
GSM2932582,ab T Cell,Spleen
GSM2932583,ab T Cell,Spleen
GSM2932584,ab T Cell,Spleen
GSM2932585,ab T Cell,Spleen
GSM2932586,ab T Cell,Thymus
GSM2932587,ab T Cell,Thymus
GSM2932588,ab T Cell,Thymus
GSM2932589,ab T Cell,Thymus
GSM2932590,ab T Cell,Thymus
GSM2932591,ab T Cell,Thymus
GSM2932592,ab T Cell,Thymus
GSM2932593,B Cell,Bone Marrow
GSM2932594,B Cell,Bone Marrow
GSM2932595,B Cell,Bone Marrow
GSM2932596,B Cell,Bone Marrow
GSM2932597,B Cell,Bone Marrow
GSM2932598,B Cell,Bone Marrow
GSM2932599,Stem Cells,Bone Marrow
GSM2932600,Stem Cells,Bone Marrow
GSM2932601,ab T Cell,Spleen
GSM2932602,ab T Cell,Spleen
GSM2932603,ab T Cell,Spleen
GSM2932604,ab T Cell,Spleen
GSM2932605,ab T Cell,Spleen
GSM2932606,ab T Cell,Spleen
GSM2932607,ab T Cell,Thymus
GSM2932608,ab T Cell,Thymus
GSM2932609,ab T Cell,Spleen
GSM2932610,ab T Cell,Spleen
GSM2932611,ab T Cell,Thymus
GSM2932612,ab T Cell,Thymus
GSM2932613,ab T Cell,Thymus
GSM2932614,ab T Cell,Thymus
GSM2932615,ab T Cell,Thymus
GSM2932616,ab T Cell,Thymus
GSM2932617,ab T Cell,Thymus
GSM2932618,ab T Cell,Thymus
GSM2932619,ab T Cell,Gut
GSM2932620,ab T Cell,Gut
GSM2932621,ab T Cell,Spleen
GSM2932622,ab T Cell,Spleen
GSM2932623,ab T Cell,Spleen
GSM2932624,ab T Cell,Spleen
GSM2932625,ab T Cell,Spleen
GSM2932626,ab T Cell,Spleen
GSM2932627,ab T Cell,Spleen
GSM2932628,ab T Cell,Spleen
GSM2932629,ab T Cell,Spleen
GSM2932630,gd T cells,Thymus
GSM2932631,gd T cells,Thymus
GSM2932632,gd T cells,Lymph Node
GSM2932633,gd T cells,Lymph Node
GSM2932634,gd T cells,Thymus
GSM2932635,gd T cells,Thymus
GSM2932636,gd T cells,Lymph Node
GSM2932637,gd T cells,Lymph Node
GSM2932638,gd T cells,Thymus
GSM2932639,gd T cells,Lymph Node
GSM2932640,gd T cells,Lymph Node
GSM2932641,gd T cells,Spleen
GSM2932642,gd T cells,Spleen
GSM2932643,ab T Cell,Spleen
GSM2932644,ab T Cell,Spleen
GSM2932645,ab T Cell,Colon
GSM2932646,ab T Cell,Colon
GSM4057887,Macrophage,Peritoneal Cavity
GSM4057888,Macrophage,Peritoneal Cavity
GSM4057889,Macrophage,Brain
GSM4057890,Macrophage,Brain
GSM4057891,Macrophage,Spleen
GSM4057892,Macrophage,Spleen
GSM4057893,Macrophage,Adipose Tissue
GSM4057894,Macrophage,Adipose Tissue
GSM4057895,Macrophage,Peritoneal Cavity
GSM4057896,Macrophage,Peritoneal Cavity
GSM4057897,Monocytes,Blood
GSM4057898,Monocytes,Blood
GSM4057899,Monocytes,Blood
GSM4057900,Monocytes,Blood
GSM4057901,Eosinophil,Peritoneal Cavity
GSM4057902,Eosinophil,Peritoneal Cavity
GSM4057903,Eosinophil,Spleen
GSM4057904,Eosinophil,Spleen
GSM4057905,Basophils,Spleen
GSM4057906,Basophils,Spleen
GSM4057907,Basophils,Spleen
GSM4057908,Mast Cells,Heart
GSM4057909,Mast Cells,Heart
GSM4057910,Mast Cells,Peritoneal Cavity
GSM4057911,Mast Cells,Peritoneal Cavity
GSM4057912,Mast Cells,Peritoneal Cavity
GSM4057913,Mast Cells,Peritoneal Cavity
GSM4057914,Mast Cells,Peritoneal Cavity
GSM4057915,Mast Cells,Peritoneal Cavity
GSM4057916,Mast Cells,Peritoneal Cavity
GSM4057917,Mast Cells,Peritoneal Cavity
GSM4057918,Mast Cells,Peritoneal Cavity
GSM4057919,Mast Cells,Peritoneal Cavity
GSM4057920,Mast Cells,Peritoneal Cavity
GSM4057921,Mast Cells,Peritoneal Cavity
